Timestamp,employment,GPA
4/3/2023 1:22:25,Employed,3.2
4/3/2023 1:22:31,Unemployed,3.375
4/3/2023 8:07:30,Employed,2.8
4/3/2023 11:10:33,Unemployed,2.85
4/3/2023 11:15:19,Unemployed,3.6
4/3/2023 11:17:31,Unemployed,3.26
4/3/2023 11:20:01,Employed,4
4/3/2023 11:20:09,Unemployed,3.5
4/3/2023 11:20:38,Employed,3.1
4/3/2023 11:20:54,Employed,2.5
4/3/2023 11:21:38,Employed,2.9
4/3/2023 11:22:30,Employed,4
4/3/2023 11:22:51,Employed,3.8
4/3/2023 11:22:52,Unemployed,3.33
4/3/2023 11:22:53,Employed,3.3
4/3/2023 11:22:54,Employed,3.86
4/3/2023 11:22:55,Employed,3.33
4/3/2023 11:23:12,Unemployed,3.78
4/3/2023 11:23:20,Unemployed,3.91
4/3/2023 11:23:22,Unemployed,4
4/3/2023 11:23:36,Unemployed,3.9
4/3/2023 11:24:52,Employed,3.9
4/3/2023 11:25:12,Unemployed,3.8
4/3/2023 11:26:02,Employed,3.84
4/3/2023 11:27:24,Employed,3.2
4/3/2023 11:37:14,Employed,4
4/3/2023 11:38:27,Employed,3
4/3/2023 11:38:41,Employed,3.8
4/3/2023 11:38:46,Unemployed,3.3
4/3/2023 11:39:04,Employed,3.2
4/3/2023 11:39:14,Employed,3.8
4/3/2023 11:39:28,Unemployed,3
4/3/2023 11:39:56,Employed,4
4/3/2023 11:40:06,Unemployed,4
4/3/2023 11:40:07,Unemployed,3.74
4/3/2023 11:40:16,Unemployed,3.56
4/3/2023 11:40:34,Unemployed,3.91
4/3/2023 11:40:46,Unemployed,4
4/3/2023 11:41:03,Employed,3.1
4/3/2023 11:41:23,Unemployed,3.8
4/3/2023 11:41:24,Unemployed,3.7
4/3/2023 11:41:25,Unemployed,3.4
4/3/2023 11:41:41,Employed,4
4/3/2023 11:41:43,Unemployed,3.21
4/3/2023 11:41:48,Employed,3.7
4/3/2023 11:42:23,Unemployed,3.5
4/3/2023 11:42:34,Employed,1.8
4/3/2023 11:42:35,Employed,3.2
4/3/2023 11:42:44,Unemployed,3.8
4/3/2023 11:42:48,Employed,3.3
4/3/2023 11:42:53,Unemployed,3
4/3/2023 11:43:07,Employed,2.8
4/3/2023 11:43:33,Employed,3
4/3/2023 11:43:36,Employed,3.6
4/3/2023 11:43:55,Unemployed,2
4/3/2023 11:43:55,Employed,3.81
4/3/2023 11:44:03,Employed,3.8
4/3/2023 11:44:05,Employed,2.5
4/3/2023 11:44:14,Employed,3.1
4/3/2023 11:44:18,Unemployed,70
4/3/2023 11:44:30,Employed,2
4/3/2023 11:44:39,Unemployed,2.5
4/3/2023 11:44:46,Employed,3
4/3/2023 11:44:47,Employed,3.5
4/3/2023 11:44:51,Employed,3.75
4/3/2023 11:45:27,Employed,3.6
4/3/2023 11:45:37,Unemployed,3.4
4/3/2023 11:45:40,Unemployed,3.9
4/3/2023 11:46:00,Employed,4
4/3/2023 11:46:02,Unemployed,3.8
4/3/2023 11:46:09,Unemployed,4
4/3/2023 11:46:11,Unemployed,4
4/3/2023 11:46:13,Unemployed,2.28
4/3/2023 11:46:35,Unemployed,3
4/3/2023 11:46:39,Employed,3.7
4/3/2023 11:46:39,Unemployed,4
4/3/2023 11:46:49,Unemployed,3.65
4/3/2023 11:47:01,Unemployed,4
4/3/2023 11:47:19,Employed,1.2
4/3/2023 11:47:58,Unemployed,3.7
4/3/2023 11:48:02,Employed,1.8
4/3/2023 11:48:08,Employed,3.1
4/3/2023 11:48:24,Unemployed,3.5
4/3/2023 11:48:40,Employed,3.8
4/3/2023 11:48:51,Unemployed,3
4/3/2023 11:48:53,Employed,3.5
4/3/2023 11:50:10,Employed,3.4
4/3/2023 11:50:20,Unemployed,3.5
4/3/2023 11:50:24,Unemployed,3.2
4/3/2023 11:51:39,Unemployed,3.7
4/3/2023 11:51:43,Unemployed,2.88
4/3/2023 11:51:52,Unemployed,3
4/3/2023 11:52:02,Employed,4
4/3/2023 11:52:08,Employed,4
4/3/2023 11:52:11,Employed,2.9
4/3/2023 11:52:19,Unemployed,4
4/3/2023 11:52:41,Employed,3.4
4/3/2023 11:52:50,Employed,3.5
4/3/2023 11:52:51,Unemployed,4
4/3/2023 11:53:28,Employed,3.1
4/3/2023 11:54:23,Employed,2.8
4/3/2023 11:54:27,Unemployed,3.5
4/3/2023 11:54:58,Employed,3.1
4/3/2023 11:55:30,Unemployed,4
4/3/2023 11:55:37,Employed,4.2
4/3/2023 12:00:05,Employed,3.85
4/3/2023 12:08:01,Employed,3.2
4/3/2023 12:08:39,Unemployed,4
4/3/2023 12:08:42,Unemployed,4.3
4/3/2023 12:08:50,Employed,3
4/3/2023 12:09:37,Employed,3.2
4/3/2023 12:09:39,Employed,4
4/3/2023 12:10:29,Employed,3.75
4/3/2023 12:10:40,Unemployed,3.3
4/3/2023 12:11:23,Employed,3.1
4/3/2023 12:11:25,Unemployed,3
4/3/2023 12:12:29,Unemployed,4
4/3/2023 12:13:25,Employed,3.2
4/3/2023 12:36:30,Employed,3.5
4/3/2023 12:52:50,Employed,4.723
4/3/2023 12:57:11,Employed,2
4/3/2023 13:20:02,Unemployed,3
4/3/2023 14:08:15,Unemployed,3.96
4/3/2023 14:13:41,Employed,3.64
4/3/2023 15:05:40,Unemployed,2.9
4/3/2023 15:15:58,Employed,4